Date,Open,High,Low,Close,Adj. Close,Change,Volume,Company
"Jan 29, 2026",271.5,271.5,267.0,267.8,256.96,-1.44%,162127,GP
"Jan 28, 2026",267.7,272.0,267.7,271.7,260.71,1.46%,134153,GP
"Jan 27, 2026",267.1,269.0,266.0,267.8,256.96,0.26%,208214,GP
"Jan 26, 2026",264.7,267.6,263.7,267.1,256.29,1.33%,145540,GP
"Jan 25, 2026",265.0,265.0,262.0,263.6,252.93,-0.26%,79230,GP
"Jan 22, 2026",265.0,265.0,262.0,264.3,253.61,0.46%,155593,GP
"Jan 21, 2026",264.7,264.9,261.0,263.1,252.45,-0.68%,302040,GP
"Jan 20, 2026",260.0,266.0,258.6,264.9,254.18,1.92%,230518,GP
"Jan 19, 2026",259.3,262.6,256.7,259.9,249.38,0.19%,328134,GP
"Jan 18, 2026",257.0,260.6,253.0,259.4,248.9,1.61%,109507,GP
"Jan 15, 2026",253.5,257.5,253.5,255.3,244.97,0.79%,179774,GP
"Jan 14, 2026",251.2,254.8,251.0,253.3,243.05,0.84%,112152,GP
"Jan 13, 2026",251.2,251.7,250.5,251.2,241.04,-,82851,GP
"Jan 12, 2026",252.8,252.8,250.5,251.2,241.04,-0.55%,100324,GP
"Jan 11, 2026",254.1,254.6,252.0,252.6,242.38,-0.59%,143888,GP
"Jan 8, 2026",254.0,256.0,253.5,254.1,243.82,0.12%,221855,GP
"Jan 7, 2026",253.5,254.5,253.5,253.8,243.53,0.32%,118080,GP
"Jan 6, 2026",254.8,254.8,252.1,253.0,242.76,0.04%,115623,GP
"Jan 5, 2026",253.3,253.5,252.0,252.9,242.67,-0.12%,75878,GP
"Jan 4, 2026",256.4,256.4,250.4,253.2,242.95,-1.29%,141358,GP
"Jan 1, 2026",260.0,260.0,254.8,256.5,246.12,-0.54%,105061,GP
"Dec 30, 2025",258.2,258.9,257.4,257.9,247.46,-0.27%,73935,GP
"Mar 16, 2026",110.1,110.1,110.1,110.1,110.1,-,2,BEXIMCO
"Mar 15, 2026",110.1,110.1,110.1,110.1,110.1,-,21,BEXIMCO
"Mar 12, 2026",110.1,110.1,110.1,110.1,110.1,-,1,BEXIMCO
"Mar 10, 2026",110.1,110.1,110.1,110.1,110.1,-,3,BEXIMCO
"Mar 9, 2026",110.1,110.1,110.1,110.1,110.1,-,3,BEXIMCO
"Mar 2, 2026",110.1,110.1,110.1,110.1,110.1,-,105,BEXIMCO
"Feb 26, 2026",110.1,110.1,110.1,110.1,110.1,-,14,BEXIMCO
"Feb 24, 2026",110.1,110.1,110.1,110.1,110.1,-,29,BEXIMCO
"Feb 23, 2026",110.1,110.1,110.1,110.1,110.1,-,3,BEXIMCO
"Feb 22, 2026",110.1,110.1,110.1,110.1,110.1,-,2,BEXIMCO
"Feb 18, 2026",110.1,110.1,110.1,110.1,110.1,-,236,BEXIMCO
"Feb 17, 2026",110.1,110.1,110.1,110.1,110.1,-,10,BEXIMCO
"Feb 16, 2026",110.1,110.1,110.1,110.1,110.1,-,41,BEXIMCO
"Feb 15, 2026",110.1,110.1,110.1,110.1,110.1,-,1,BEXIMCO
"Feb 10, 2026",110.1,110.1,110.1,110.1,110.1,-,38,BEXIMCO
"Feb 5, 2026",110.1,110.1,110.1,110.1,110.1,-,3,BEXIMCO
"Feb 3, 2026",110.1,110.1,110.1,110.1,110.1,-,1051,BEXIMCO
"Jan 29, 2026",110.1,110.1,110.1,110.1,110.1,-,3,BEXIMCO
"Jan 27, 2026",110.1,110.1,110.1,110.1,110.1,-,110,BEXIMCO
"Jan 26, 2026",110.1,110.1,110.1,110.1,110.1,-,16,BEXIMCO
"Jan 25, 2026",110.1,110.1,110.1,110.1,110.1,-,7,BEXIMCO
"Jan 14, 2026",110.1,110.1,110.1,110.1,110.1,-,2,BEXIMCO
"Jan 13, 2026",110.1,110.1,110.1,110.1,110.1,-,38,BEXIMCO
"Jan 11, 2026",110.1,110.1,110.1,110.1,110.1,-,3000,BEXIMCO
"Jan 8, 2026",110.1,110.1,110.1,110.1,110.1,-,1,BEXIMCO
"Jan 5, 2026",110.1,110.1,110.1,110.1,110.1,-,5,BEXIMCO
"Jan 1, 2026",110.1,110.1,110.1,110.1,110.1,-,3,BEXIMCO
"Dec 30, 2025",110.1,110.1,110.1,110.1,110.1,-,248,BEXIMCO
"Dec 28, 2025",110.1,110.1,110.1,110.1,110.1,-,6,BEXIMCO
"Dec 22, 2025",110.1,110.1,110.1,110.1,110.1,-,7,BEXIMCO
"Dec 18, 2025",110.1,110.1,110.1,110.1,110.1,-,2,BEXIMCO
"Dec 11, 2025",110.1,110.1,110.1,110.1,110.1,-,1,BEXIMCO
"Dec 10, 2025",110.1,110.1,110.1,110.1,110.1,-,4,BEXIMCO
"Dec 4, 2025",110.1,110.1,110.1,110.1,110.1,-,4001,BEXIMCO
"Dec 3, 2025",110.1,110.1,110.1,110.1,110.1,-,5,BEXIMCO
"Dec 1, 2025",110.1,110.1,110.1,110.1,110.1,-,181,BEXIMCO
"Nov 26, 2025",110.1,110.1,110.1,110.1,110.1,-,1500,BEXIMCO
"Nov 25, 2025",110.1,110.1,110.1,110.1,110.1,-,4,BEXIMCO
"Nov 19, 2025",110.1,110.1,110.1,110.1,110.1,-,1,BEXIMCO
"Nov 17, 2025",110.1,110.1,110.1,110.1,110.1,-,19,BEXIMCO
"Nov 13, 2025",110.1,110.1,110.1,110.1,110.1,-,300,BEXIMCO
"Nov 11, 2025",110.1,110.1,110.1,110.1,110.1,-,1,BEXIMCO
"Nov 10, 2025",110.1,110.1,110.1,110.1,110.1,-,1,BEXIMCO
"Nov 5, 2025",110.1,110.1,110.1,110.1,110.1,-,9,BEXIMCO
"Nov 3, 2025",110.1,110.1,110.1,110.1,110.1,-,2100,BEXIMCO
"Oct 26, 2025",110.1,110.1,110.1,110.1,110.1,-,2773,BEXIMCO
"Oct 22, 2025",110.1,110.1,110.1,110.1,110.1,-,2112,BEXIMCO
"Oct 20, 2025",110.1,110.1,110.1,110.1,110.1,-,2814,BEXIMCO
"Oct 16, 2025",110.1,110.1,110.1,110.1,110.1,-,51,BEXIMCO
"Oct 14, 2025",110.1,110.1,110.1,110.1,110.1,-,4,BEXIMCO
"Mar 16, 2026",209.0,209.9,207.1,209.0,209.0,-0.19%,143923,ACI
"Mar 15, 2026",211.4,213.9,208.5,209.4,209.4,-0.95%,79285,ACI
"Mar 12, 2026",211.4,212.8,206.3,211.4,211.4,0.67%,111771,ACI
"Mar 11, 2026",207.1,212.0,206.4,210.0,210.0,1.06%,131630,ACI
"Mar 10, 2026",207.8,209.0,201.2,207.8,207.8,3.80%,168664,ACI
"Mar 9, 2026",197.5,201.9,195.3,200.2,200.2,1.37%,108927,ACI
"Mar 8, 2026",209.0,211.4,196.0,197.5,197.5,-6.35%,163512,ACI
"Mar 5, 2026",210.9,213.9,209.7,210.9,210.9,0.14%,67921,ACI
"Mar 4, 2026",211.2,214.5,208.1,210.6,210.6,-0.28%,195641,ACI
"Mar 3, 2026",211.2,221.8,210.2,211.2,211.2,-4.69%,297327,ACI
"Mar 2, 2026",221.6,225.0,220.1,221.6,221.6,-0.14%,264522,ACI
"Mar 1, 2026",220.0,226.0,218.2,221.9,221.9,-2.63%,313218,ACI
"Feb 26, 2026",227.9,229.2,221.0,227.9,227.9,3.50%,718104,ACI
"Feb 25, 2026",220.2,221.0,217.3,220.2,220.2,1.15%,196510,ACI
"Feb 24, 2026",220.8,224.5,217.0,217.7,217.7,-0.96%,232479,ACI
"Feb 23, 2026",219.8,221.1,215.2,219.8,219.8,0.55%,296998,ACI
"Feb 22, 2026",215.0,222.1,214.8,218.6,218.6,1.30%,223736,ACI
"Feb 19, 2026",223.7,223.7,214.8,215.8,215.8,-3.53%,404812,ACI
"Feb 18, 2026",225.0,231.0,221.9,223.7,223.7,-0.58%,418556,ACI
"Feb 17, 2026",225.0,227.1,207.2,225.0,225.0,7.71%,1550629,ACI
"Feb 16, 2026",209.6,210.6,206.8,208.9,208.9,-0.29%,328102,ACI
"Feb 15, 2026",205.1,211.0,204.6,209.5,209.5,3.46%,360583,ACI
"Feb 10, 2026",202.5,204.0,198.2,202.5,202.5,2.32%,211819,ACI
"Feb 9, 2026",196.5,198.9,196.2,197.9,197.9,1.59%,86121,ACI
"Feb 8, 2026",200.0,200.0,194.5,194.8,194.8,-2.36%,136908,ACI
"Feb 5, 2026",205.8,205.8,198.6,199.5,199.5,-2.64%,156490,ACI
"Feb 3, 2026",204.9,207.7,204.0,204.9,204.9,-0.68%,126333,ACI
"Feb 2, 2026",208.3,209.6,204.5,206.3,206.3,-0.96%,181460,ACI
"Feb 1, 2026",209.9,211.0,207.5,208.3,208.3,0.19%,198315,ACI
"Jan 29, 2026",208.7,208.9,206.6,207.9,207.9,0.24%,131977,ACI
"Jan 28, 2026",206.5,208.4,205.0,207.4,207.4,0.58%,88083,ACI
"Jan 27, 2026",206.8,208.8,205.5,206.2,206.2,-0.29%,117525,ACI
"Jan 26, 2026",206.8,210.5,206.1,206.8,206.8,-1.10%,105450,ACI
"Jan 25, 2026",210.0,211.1,207.1,209.1,209.1,0.82%,147822,ACI
"Jan 22, 2026",207.4,209.0,205.2,207.4,207.4,0.58%,93830,ACI
"Jan 21, 2026",206.2,209.9,205.7,206.2,206.2,-0.43%,159224,ACI
"Jan 20, 2026",209.2,209.9,206.5,207.1,207.1,-0.91%,192709,ACI
"Jan 19, 2026",213.5,214.0,208.5,209.0,209.0,-1.51%,234133,ACI
"Jan 18, 2026",212.0,216.0,210.1,212.2,212.2,0.28%,353952,ACI
"Jan 15, 2026",211.6,213.0,207.6,211.6,211.6,-0.24%,268339,ACI
"Jan 14, 2026",212.1,213.0,204.9,212.1,212.1,4.17%,661807,ACI
"Jan 13, 2026",203.6,204.7,198.3,203.6,203.6,2.78%,400332,ACI
"Jan 12, 2026",199.4,199.4,196.9,198.1,198.1,-0.65%,69714,ACI
"Jan 11, 2026",203.5,203.6,198.1,199.4,199.4,-2.01%,106298,ACI
"Jan 8, 2026",203.5,208.0,202.1,203.5,203.5,0.15%,114976,ACI
"Jan 7, 2026",203.2,204.0,197.7,203.2,203.2,2.63%,203694,ACI
"Jan 6, 2026",197.7,198.3,196.0,198.0,198.0,0.81%,59903,ACI
"Jan 5, 2026",196.4,199.1,195.8,196.4,196.4,0.20%,63835,ACI
"Jan 4, 2026",195.5,197.9,195.3,196.0,196.0,0.31%,99511,ACI
"Jan 1, 2026",195.4,197.9,194.6,195.4,195.4,0.41%,73980,ACI
